measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,571,West Virginia,3,Both,15,50 to 54,718,Self-harm,1,Number,1990,15.14141655,17.66133013,12.96928789
1,Deaths,571,West Virginia,3,Both,39,0 to 14,718,Self-harm,1,Number,1990,2.172777048,2.879834778,1.597264956
1,Deaths,571,West Virginia,3,Both,197,15 to 39,718,Self-harm,1,Number,1990,116.0215365,123.6817026,108.4476732
1,Deaths,571,West Virginia,3,Both,285,55 to 89 years,718,Self-harm,1,Number,1990,87.57236822,94.17467167,81.49820018
1,Deaths,540,Kentucky,3,Both,13,40 to 44,718,Self-harm,1,Number,1990,47.46985694,52.86006996,42.0442762
1,Deaths,540,Kentucky,3,Both,14,45 to 49,718,Self-harm,1,Number,1990,38.06436147,43.21903096,33.31528177
1,Deaths,540,Kentucky,3,Both,15,50 to 54,718,Self-harm,1,Number,1990,32.20318749,36.74558345,28.00824749
1,Deaths,540,Kentucky,3,Both,39,0 to 14,718,Self-harm,1,Number,1990,3.773002629,4.838588072,2.871112548
1,Deaths,540,Kentucky,3,Both,197,15 to 39,718,Self-harm,1,Number,1990,252.0877037,265.9835091,238.5052869
1,Deaths,540,Kentucky,3,Both,285,55 to 89 years,718,Self-harm,1,Number,1990,167.0326715,177.7327226,156.8169217
1,Deaths,552,New Hampshire,3,Both,13,40 to 44,718,Self-harm,1,Number,1991,15.68281674,18.11397962,13.50797372
1,Deaths,552,New Hampshire,3,Both,14,45 to 49,718,Self-harm,1,Number,1991,11.19795336,13.00383684,9.497712844
1,Deaths,552,New Hampshire,3,Both,15,50 to 54,718,Self-harm,1,Number,1991,10.069036,11.9353226,8.585733399
1,Deaths,552,New Hampshire,3,Both,39,0 to 14,718,Self-harm,1,Number,1991,1.033467346,1.357143385,0.755189944
1,Deaths,552,New Hampshire,3,Both,197,15 to 39,718,Self-harm,1,Number,1991,73.77493556,79.01632061,68.92175573
1,Deaths,552,New Hampshire,3,Both,285,55 to 89 years,718,Self-harm,1,Number,1991,40.50484867,44.05863899,37.38437831
1,Deaths,538,Iowa,3,Both,13,40 to 44,718,Self-harm,1,Number,1991,30.17550476,34.02923852,26.44381669
1,Deaths,538,Iowa,3,Both,14,45 to 49,718,Self-harm,1,Number,1991,18.91346616,21.7171966,16.30111121
1,Deaths,538,Iowa,3,Both,15,50 to 54,718,Self-harm,1,Number,1991,19.31412852,22.13030444,16.56504319
1,Deaths,538,Iowa,3,Both,39,0 to 14,718,Self-harm,1,Number,1991,3.093784961,3.967741767,2.341757301
1,Deaths,538,Iowa,3,Both,197,15 to 39,718,Self-harm,1,Number,1991,157.3256613,166.648143,147.8033863
1,Deaths,538,Iowa,3,Both,285,55 to 89 years,718,Self-harm,1,Number,1991,118.6478103,127.1014868,110.1356999
1,Deaths,541,Louisiana,3,Both,13,40 to 44,718,Self-harm,1,Number,1990,47.7966627,53.83125363,42.57876404
1,Deaths,541,Louisiana,3,Both,14,45 to 49,718,Self-harm,1,Number,1990,40.85317442,46.03847779,35.90130108
1,Deaths,541,Louisiana,3,Both,15,50 to 54,718,Self-harm,1,Number,1990,32.31960757,36.987232,28.3462148
1,Deaths,541,Louisiana,3,Both,39,0 to 14,718,Self-harm,1,Number,1990,6.450750068,8.163243423,5.028694533
1,Deaths,541,Louisiana,3,Both,197,15 to 39,718,Self-harm,1,Number,1990,310.4696615,329.8401241,293.2193781
1,Deaths,541,Louisiana,3,Both,285,55 to 89 years,718,Self-harm,1,Number,1990,155.0827893,164.385401,145.2836418
1,Deaths,556,North Carolina,3,Both,13,40 to 44,718,Self-harm,1,Number,1990,79.53302543,88.4227206,71.2772345
1,Deaths,556,North Carolina,3,Both,14,45 to 49,718,Self-harm,1,Number,1990,67.7018976,76.40547338,60.474458
1,Deaths,556,North Carolina,3,Both,15,50 to 54,718,Self-harm,1,Number,1990,58.2223849,65.92612514,51.68770477
1,Deaths,556,North Carolina,3,Both,39,0 to 14,718,Self-harm,1,Number,1990,7.148947841,8.934213295,5.599935899
1,Deaths,556,North Carolina,3,Both,197,15 to 39,718,Self-harm,1,Number,1990,418.1848818,441.8722518,396.5440176
1,Deaths,556,North Carolina,3,Both,285,55 to 89 years,718,Self-harm,1,Number,1990,273.471988,289.1679517,257.896784
1,Deaths,554,New Mexico,3,Both,13,40 to 44,718,Self-harm,1,Number,1991,28.46652017,32.1600154,24.73963789
1,Deaths,554,New Mexico,3,Both,14,45 to 49,718,Self-harm,1,Number,1991,20.2684338,23.44726748,17.51376508
1,Deaths,554,New Mexico,3,Both,15,50 to 54,718,Self-harm,1,Number,1991,15.3138823,17.68953879,13.14512635
1,Deaths,554,New Mexico,3,Both,39,0 to 14,718,Self-harm,1,Number,1991,3.270595124,4.172855029,2.532798773
1,Deaths,554,New Mexico,3,Both,197,15 to 39,718,Self-harm,1,Number,1991,166.1998944,176.1260356,156.7847435
